Component Name,"[input layer, output layer]",N,FN,S,FS
valve_20px,"[1,2]","[[[25, 50],  [75, 50]], [[50, 75], [50, 25]]]","[[[25, 50],   [75, 50]], [[50, 75], [50, 25]]]","[[[25, 50], [75, 50]], [[50, 75], [50, 25]]]","[[[25, 50], [75, 50]], [[50, 75], [50, 25]]]"
serpentine_25px,[1],"[[[25, 25],  [50, 50]]]","[[[50, 25],   [25, 50]]]","[[[50, 50], [25, 25]]]","[[[25, 50], [50, 25]]]"
serpentine_50px,[1],"[[[25, 25],  [75, 25]]]","[[[50, 25],   [25, 50]]]","[[[75, 75], [25, 75]]]","[[[25, 75], [75, 75]]]"
serpentine_75px,[1],"[[[25, 25],  [100, 100]]]","[[[100, 25],  [25, 100]]]","[[[100, 100], [25, 25]]]","[[[25, 100], [100, 25]]]"
serpentine_100px,[1],"[[[25, 25],  [125, 25]]]","[[[125, 25],  [25, 25]]]","[[[125, 125], [25, 125]]]","[[[25, 125], [125, 125]]]"
serpentine_150px,[1],"[[[25, 25],  [175, 25]]]","[[[175, 25],  [25, 25]]]","[[[175, 175], [25, 175]]]","[[[25, 175], [175, 175]]]"
serpentine_200px,[1],"[[[25, 25],  [225, 25]]]","[[[225, 25],  [25, 25]]]","[[[225, 225], [25, 225]]]","[[[25, 225], [225, 225]]]"
serpentine_200px_3,"[2,5]","[[[25, 25]], [[25, 25]]]","[[[225, 25]], [[225, 25]]]","[[[225, 225]], [[225, 225]]]","[[[25, 225]], [[25, 225]]]"
serpentine_300px,[1],"[[[25, 25],  [325, 25]]]","[[[325, 25],  [25, 25]]]","[[[325, 325], [25, 325]]]","[[[25, 325], [325, 325]]]"
serpentine_300px_1,"[2,3]","[[[50, 25]], [[25, 25]]]","[[[300, 25]], [[325, 25]]]","[[[300, 325]], [[325, 325]]]","[[[50, 325]], [[25, 325]]]"
serpentine_300px_2,"[2,4]","[[[25, 25]], [[350, 25]]]","[[[350, 25]], [[25, 25]]]","[[[350, 325]], [[25, 325]]]","[[[25, 325]], [[350, 325]]]"
serpentine_300px_3,"[2,5]","[[[50, 25]], [[25, 25]]]","[[[300, 25]], [[325, 25]]]","[[[300, 325]], [[325, 325]]]","[[[50, 325]], [[25, 325]]]"
serpentine_300px_4,"[2,6]","[[[25, 25]], [[350, 25]]]","[[[350, 25]], [[25, 25]]]","[[[350, 325]], [[25, 325]]]","[[[25, 325]], [[350, 325]]]"
pump_40px_0,"[1,2]","[[[75, 175], [75, 25]], [[25, 150], [125, 150], [25, 100], [125, 100], [25, 50], [125, 50]]]","[[[75, 175],  [75, 25]], [[25, 150], [125, 150], [25, 100], [125, 100], [25, 50], [125, 50]]]","[[[75, 175], [75, 25]], [[25, 150], [125, 150], [25, 100], [125, 100], [25, 50], [125, 50]]]","[[[75, 175], [75, 25]], [[25, 150], [125, 150], [25, 100], [125, 100], [25, 50], [125, 50]]]"
pump_40px_1,"[1,2]","[[[175, 75], [25, 75]], [[150, 25], [150, 125], [100, 25], [100, 125], [50, 25], [50, 125]]]","[[[175, 75],  [25, 75]], [[150, 25], [150, 125], [100, 25], [100, 125], [50, 25], [50, 125]]]","[[[175, 75], [25, 75]], [[150, 25], [150, 125], [100, 25], [100, 125], [50, 25], [50, 125]]]","[[[175, 75], [25, 75]], [[150, 25], [150, 125], [100, 25], [100, 125], [50, 25], [50, 125]]]"
diffmix_25px_0,[1],"[[[25, 50],  [25, 25], [50, 50]]]","[[[50, 50],   [50, 25], [25, 50]]]","[[[50, 25], [50, 50], [25, 25]]]","[[[25, 25], [25, 50], [50, 25]]]"
junction_25px_0,[1],"[[[25, 50],  [25, 25], [50, 25]]]","[[[50, 50],   [50, 25], [25, 25]]]","[[[50, 25], [50, 50], [25, 50]]]","[[[25, 25], [25, 50], [50, 50]]]"
